RoomID,Room,Building
SMH-206,206,Smith Memorial Hall
MB-4002,4002,Music Building
SMH-201,201,Smith Memorial Hall
MB-4007,4007,Music Building
MB-3014,3014,Music Building
MB-,,Music Building
MB-2000,2000,Music Building
MB-2060,2060,Music Building
MB-2064,2064,Music Building
MB-3020,3020,Music Building
KCfPA-2317,2317,Krannert Center for Perf Arts
MB-3000,3000,Music Building
MB-360,360,Music Building
MB-3018,3018,Music Building
MB-3044,3044,Music Building
KCfPA-2310,2310,Krannert Center for Perf Arts
MB-4018,4018,Music Building
MB-4000,4000,Music Building
MB-4040,4040,Music Building
SMH-215,215,Smith Memorial Hall
HBB-141,141,Harding Band Building
MB-4060,4060,Music Building
SMH-14,14,Smith Memorial Hall
SMH-10,10,Smith Memorial Hall
HBB-167,167,Harding Band Building
MB-300,300,Music Building
MB-4020,4020,Music Building
KCfPA-ARR,ARR,Krannert Center for Perf Arts
MB-4014,4014,Music Building
MB-4004,4004,Music Building
MB-4048,4048,Music Building
MB-4032,4032,Music Building
MB-4008,4008,Music Building
MB-4052,4052,Music Building
MB-4028,4028,Music Building
MB-4030,4030,Music Building
MB-4029,4029,Music Building
KCfPA-2418,2418,Krannert Center for Perf Arts
MB-4022,4022,Music Building
KCfPA-,,Krannert Center for Perf Arts
SMH-105,105,Smith Memorial Hall
SMH-203,203,Smith Memorial Hall
MB-3060,3060,Music Building
MB-4046,4046,Music Building
MB-4044,4044,Music Building
HBB-146,146,Harding Band Building
KCfPA-4409,4409,Krannert Center for Perf Arts
KCfPA-4411,4411,Krannert Center for Perf Arts
PB-815,815,Psychology Building
PB-819,819,Psychology Building
BI-4269,4269,Beckman Institute
PB-708,708,Psychology Building
PB-508,508,Psychology Building
NRL-ARR,ARR,Nuclear Radiations Laboratory
NRL-114,114,Nuclear Radiations Laboratory
TL-225,225,Talbot Laboratory
TH-W25,W25,Turner Hall
TH-S509,S509,Turner Hall
TH-W13,W13,Turner Hall
TH-N527,N527,Turner Hall
A-151,151,Armory
A-337,337,Armory
ERML-ARR,ARR,E R Madigan Laboratory
IfGB-ARR,ARR,Institute for Genomic Biology
VMBSB-2406,2406,Vet Med Basic Sciences Bldg
ASL-396,396,Animal Sciences Laboratory
VMBSB-1220,1220,Vet Med Basic Sciences Bldg
GH-402,402,Gregory Hall
LL-141,141,Loomis Laboratory
LL-232,232,Loomis Laboratory
LL-64,64,Loomis Laboratory
LL-139,139,Loomis Laboratory
LL-264,264,Loomis Laboratory
LL-35,35,Loomis Laboratory
LL-258,258,Loomis Laboratory
LL-279,279,Loomis Laboratory
LL-137,137,Loomis Laboratory
TL-104,104,Talbot Laboratory
LL-262,262,Loomis Laboratory
LL-234,234,Loomis Laboratory
LL-236,236,Loomis Laboratory
LL-276,276,Loomis Laboratory
LL-222,222,Loomis Laboratory
ESB-6103,6103,Engineering Sciences Building
ESB-6107,6107,Engineering Sciences Building
ESB-5105,5105,Engineering Sciences Building
DKH-404,404,David Kinley Hall
PB-27,27,Psychology Building
HAB-138,138,Henry Administration Bldg
PB-142,142,Psychology Building
PB-219A,219A,Psychology Building
PB-258,258,Psychology Building
PB-453D,453D,Psychology Building
PB-35,35,Psychology Building
PB-ARR,ARR,Psychology Building
PB-608,608,Psychology Building
FLB-ARR,ARR,Foreign Languages Building
EB-307,307,English Building
EB-309,309,English Building
HAB-142,142,Henry Administration Bldg
HAB-148,148,Henry Administration Bldg
HAB-154,154,Henry Administration Bldg
TB-207,207,Transportation Building
TB-316,316,Transportation Building
E&CEB-3075,3075,Electrical & Computer Eng Bldg
WH-6,6,Weston Hall
S&HSB-111,111,Speech & Hearing Science Bldg
S&HSB-220,220,Speech & Hearing Science Bldg
LH-ARR,ARR,Lincoln Hall
1WN-2018,2018,1010 W Nevada
1WN-2101,2101,1010 W Nevada
1WN-2030,2030,1010 W Nevada
1WN-2019,2019,1010 W Nevada
EB-288A,288A,Education Building
MEL-ARR,ARR,Mechanical Engineering Lab
ISRL-ARR,ARR,Illinois Street Residence Lng
NH-211,211,Noble Hall
KCfPA-4506,4506,Krannert Center for Perf Arts
KCfPA-3601,3601,Krannert Center for Perf Arts
KCfPA-3607,3607,Krannert Center for Perf Arts
KCfPA-4503,4503,Krannert Center for Perf Arts
KCfPA-4118,4118,Krannert Center for Perf Arts
KCfPA-3605,3605,Krannert Center for Perf Arts
KCfPA-3606,3606,Krannert Center for Perf Arts
KCfPA-2312,2312,Krannert Center for Perf Arts
KCfPA-4114,4114,Krannert Center for Perf Arts
KCfPA-2119,2119,Krannert Center for Perf Arts
KCfPA-3604,3604,Krannert Center for Perf Arts
AESB-119,119,Agricultural Engr Sciences Bld
THBH-223,223,Temple Hoyne Buell Hall
THBH-ARR,ARR,Temple Hoyne Buell Hall
THBH-19,19,Temple Hoyne Buell Hall
THBH-227,227,Temple Hoyne Buell Hall
VTH-E-080,E-080,Veterinary Teaching Hospital
VTH-100,100,Veterinary Teaching Hospital
VTH-250,250,Veterinary Teaching Hospital
VMBSB-2506,2506,Vet Med Basic Sciences Bldg
VMBSB-2251,2251,Vet Med Basic Sciences Bldg
VMBSB-1730,1730,Vet Med Basic Sciences Bldg
VMBSB-2743,2743,Vet Med Basic Sciences Bldg
VMBSB-2258,2258,Vet Med Basic Sciences Bldg
VTH-E-061,E-061,Veterinary Teaching Hospital
VMBSB-2281,2281,Vet Med Basic Sciences Bldg
ASL-67,67,Animal Sciences Laboratory
SP-111,111,Stock Pavilion
ASL-296,296,Animal Sciences Laboratory
THBH-315,315,Temple Hoyne Buell Hall
AaDB-25West,25West,Art and Design Building
AaDB-232,232,Art and Design Building
AaDB-25East,25East,Art and Design Building
FH-334,334,Flagg Hall
FH-ARR,ARR,Flagg Hall
GEL-ARR,ARR,Grainger Engineering Library
NL-ARR,ARR,Noyes Laboratory
NL-219,219,Noyes Laboratory
NL-457,457,Noyes Laboratory
NHB-4004,4004,Natural History Building
SCfCS-222,222,Siebel Center for Comp Sci
SCfCS-2325,2325,Siebel Center for Comp Sci
DPIC-ARR,ARR,Discovery Partners Inst. CHI
EB-107A,107A,English Building
9WN-ARR,ARR,905 W Nevada
E&CEB-1003,1003,Electrical & Computer Eng Bldg
M&NL-262,262,Micro & Nanotechnology Lab
NSRC-337,337,National Soybean Res Ctr
TL-100H,100H,Talbot Laboratory
BH-1045,1045,Bousfield Hall
SD&RP-2005,2005,Student Dining & Res Program
AB-210A,210A,Architecture Building
AESB-194,194,Agricultural Engr Sciences Bld
ABL-17,17,Agricultural Bioprocess Lab
NHB-ARR,ARR,Natural History Building
A-345,345,Armory
CRCE-MP2,MP2,Campus Recreation Center East
S&HSB-ARR,ARR,Speech & Hearing Science Bldg
EB-176,176,Education Building
BH-7,7,Burrill Hall
CaLSL-ARR,ARR,Chemical and Life Sci Lab
OP&EL-130B,130B,Optical Physics & Eng Lab
A-113,113,Armory
CKH-218,218,Ceramics Kiln House
CB-322,322,Ceramics Building
SMH-204,204,Smith Memorial Hall
SMH-9,9,Smith Memorial Hall
SMH-202,202,Smith Memorial Hall
MB-4067,4067,Music Building
HBB-140,140,Harding Band Building
BI-1005,1005,Beckman Institute
VMBSB-,,Vet Med Basic Sciences Bldg
ESB-6106,6106,Engineering Sciences Building
DKH-429,429,David Kinley Hall
DKH-ARR,ARR,David Kinley Hall
PB-211,211,Psychology Building
PB-37,37,Psychology Building
BI-,,Beckman Institute
ZU-ARR,ARR,Zhejiang University
TL-200,200,Talbot Laboratory
KCfPA-2121,2121,Krannert Center for Perf Arts
