RoomID,Room,Building
1WN-2027,2027,1010 W Nevada
SP-ARENA,ARENA,Stock Pavilion
MSL-ARR,ARR,Meat Science Laboratory
SP-ARR,ARR,Stock Pavilion
SP-107,107,Stock Pavilion
MSL-120,120,Meat Science Laboratory
NL-217,217,Noyes Laboratory
DKH-123,123,David Kinley Hall
DH-209A,209A,Davenport Hall
DH-338,338,Davenport Hall
TH-W223,W223,Turner Hall
MSL-208,208,Meat Science Laboratory
VMBSB-3526,3526,Vet Med Basic Sciences Bldg
ASL-404,404,Animal Sciences Laboratory
FA-AUD,AUD,Foellinger Auditorium
DKH-114,114,David Kinley Hall
DH-329,329,Davenport Hall
GH-319,319,Gregory Hall
FLB-G46,G46,Foreign Languages Building
FLB-G18,G18,Foreign Languages Building
DH-116,116,Davenport Hall
NL-161,161,Noyes Laboratory
DKH-317,317,David Kinley Hall
NHB-2020B,2020B,Natural History Building
FLB-G8A,G8A,Foreign Languages Building
DH-109A,109A,Davenport Hall
FLB-G20,G20,Foreign Languages Building
LH-1090,1090,Lincoln Hall
FLB-G36,G36,Foreign Languages Building
LH-1024,1024,Lincoln Hall
FLB-G7,G7,Foreign Languages Building
FLB-1110,1110,Foreign Languages Building
DH-169,169,Davenport Hall
FLB-G8B,G8B,Foreign Languages Building
EB-115,115,English Building
FLB-1040,1040,Foreign Languages Building
FLB-1140,1140,Foreign Languages Building
AA-ARR,ARR,Architecture Annex
AB-102A,102A,Architecture Building
AB-200,200,Architecture Building
AB-300,300,Architecture Building
AB-102B,102B,Architecture Building
AB-20,20,Architecture Building
AB-403,403,Architecture Building
AB-410,410,Architecture Building
AB-315,315,Architecture Building
AB-205,205,Architecture Building
DKH-106,106,David Kinley Hall
DKH-212,212,David Kinley Hall
THBH-17,17,Temple Hoyne Buell Hall
THBH-211,211,Temple Hoyne Buell Hall
THBH-305,305,Temple Hoyne Buell Hall
THBH-311,311,Temple Hoyne Buell Hall
THBH-205,205,Temple Hoyne Buell Hall
THBH-201,201,Temple Hoyne Buell Hall
THBH-301,301,Temple Hoyne Buell Hall
WH-174,174,Wohlers Hall
AB-ARR,ARR,Architecture Building
AaDB-209,209,Art and Design Building
AaDB-219,219,Art and Design Building
AaDB-330,330,Art and Design Building
FH-50,50,Flagg Hall
FH-309,309,Flagg Hall
ARH-151,151,Allen Residence Hall
ARH-64,64,Allen Residence Hall
ARH-63,63,Allen Residence Hall
ARH-152,152,Allen Residence Hall
ARH-82,82,Allen Residence Hall
ARH-89,89,Allen Residence Hall
FH-329,329,Flagg Hall
FH-123,123,Flagg Hall
AaDB-319,319,Art and Design Building
AaDB-9,9,Art and Design Building
AaDB-225,225,Art and Design Building
AaDB-229,229,Art and Design Building
AaDB-25,25,Art and Design Building
JH-ARR,ARR,Japan House
AaDB-228,228,Art and Design Building
AaDB-224,224,Art and Design Building
AaDB-312,312,Art and Design Building
AaDB-331,331,Art and Design Building
FH-306,306,Flagg Hall
AaDB-340,340,Art and Design Building
AaDB-208,208,Art and Design Building
FH-131,131,Flagg Hall
AaDB-216,216,Art and Design Building
AaDB-107,107,Art and Design Building
AaDB-106,106,Art and Design Building
FH-421,421,Flagg Hall
NH-111,111,Noble Hall
FH-405,405,Flagg Hall
FH-410,410,Flagg Hall
FH-320,320,Flagg Hall
FH-129,129,Flagg Hall
AaDB-316,316,Art and Design Building
FH-404,404,Flagg Hall
NH-7,7,Noble Hall
AA-221,221,Architecture Annex
AaDB-40,40,Art and Design Building
NH-ARR,ARR,Noble Hall
FH-128,128,Flagg Hall
FH-122,122,Flagg Hall
2SGDB4-5,5,"2110 S. Griffith Dr., Bldg 4"
EH-106B1,106B1,Engineering Hall
AH-239,239,Altgeld Hall
AH-245,245,Altgeld Hall
AH-243,243,Altgeld Hall
LH-1027,1027,Lincoln Hall
LH-1002,1002,Lincoln Hall
EH-106B8,106B8,Engineering Hall
DKH-222,222,David Kinley Hall
FLB-1128,1128,Foreign Languages Building
GH-100,100,Gregory Hall
CB-214,214,Ceramics Building
AB-134,134,Astronomy Building
TL-105,105,Talbot Laboratory
TB-204,204,Transportation Building
O-124,124,Observatory
LL-144,144,Loomis Laboratory
NHB-2079,2079,Natural History Building
NHB-2084,2084,Natural History Building
FLB-G23,G23,Foreign Languages Building
NHB-1071,1071,Natural History Building
NHB-1020,1020,Natural History Building
NHB-2020A,2020A,Natural History Building
DI-ARR,ARR,Danville IL
DH-137C,137C,Davenport Hall
WH-130,130,Wohlers Hall
WH-226,226,Wohlers Hall
WH-240,240,Wohlers Hall
WH-141,141,Wohlers Hall
WH-245,245,Wohlers Hall
WH-166,166,Wohlers Hall
BIF-2043,2043,Business Instructional Fac
DKH-215,215,David Kinley Hall
IL&IR-35,35,Inst Labor &  Industrial Rel
WH-ARR,ARR,Wohlers Hall
BIF-3039,3039,Business Instructional Fac
PB-11,11,Psychology Building
FLB-1030,1030,Foreign Languages Building
RAL-ARR,ARR,Roger Adams Laboratory
CaLSL-B102,B102,Chemical and Life Sci Lab
RAL-116,116,Roger Adams Laboratory
SCfCS-1302,1302,Siebel Center for Comp Sci
EL-3109,3109,Everitt Laboratory
EL-215,215,Everitt Laboratory
E&CEB-2015,2015,Electrical & Computer Eng Bldg
EL-201,201,Everitt Laboratory
TL-225A,225A,Talbot Laboratory
MEB-ARR,ARR,Mechanical Engineering Bldg
E&CEB-3081,3081,Electrical & Computer Eng Bldg
MS&EB-4101,4101,Materials Science & Eng Bld
EL-ARR,ARR,Everitt Laboratory
NHB-2083,2083,Natural History Building
EB-150,150,English Building
EB-23,23,English Building
EB-29,29,English Building
EB-36,36,English Building
EB-61,61,English Building
LH-4051,4051,Lincoln Hall
EB-44,44,English Building
EB-69,69,English Building
HAB-152,152,Henry Administration Bldg
EB-149,149,English Building
A&RC-ARR,ARR,Activities & Recreation Center
BH-328,328,Bevier Hall
VMBSB-2271C,2271C,Vet Med Basic Sciences Bldg
MS&EB-100,100,Materials Science & Eng Bld
NCEB-1310,1310,Newmark Civil Engineering Bldg
TL-201,201,Talbot Laboratory
NCEB-3310,3310,Newmark Civil Engineering Bldg
NCEB-2311,2311,Newmark Civil Engineering Bldg
NCEB-1225,1225,Newmark Civil Engineering Bldg
NCEB-1311,1311,Newmark Civil Engineering Bldg
NCEB-B226,B226,Newmark Civil Engineering Bldg
NCEB-2312,2312,Newmark Civil Engineering Bldg
THBH-225,225,Temple Hoyne Buell Hall
NCEB-1233,1233,Newmark Civil Engineering Bldg
NCEB-B218,B218,Newmark Civil Engineering Bldg
BH-393,393,Bevier Hall
NL-163,163,Noyes Laboratory
RAL-8,8,Roger Adams Laboratory
DH-214,214,Davenport Hall
11WN-122,122,1203 1/2 W Nevada
NL-301,301,Noyes Laboratory
CA-2012,2012,Chemistry Annex
NL-204,204,Noyes Laboratory
NL-164,164,Noyes Laboratory
NL-300,300,Noyes Laboratory
NL-162,162,Noyes Laboratory
NL-203,203,Noyes Laboratory
NL-100,100,Noyes Laboratory
NL-304,304,Noyes Laboratory
NL-303,303,Noyes Laboratory
NL-165,165,Noyes Laboratory
CA-3007,3007,Chemistry Annex
CA-152,152,Chemistry Annex
NL-209,209,Noyes Laboratory
NL-300A,300A,Noyes Laboratory
CA-6,6,Chemistry Annex
CA-7,7,Chemistry Annex
CA-1006,1006,Chemistry Annex
CA-1007,1007,Chemistry Annex
CA-2006,2006,Chemistry Annex
CA-2007,2007,Chemistry Annex
NHB-2078,2078,Natural History Building
CA-3026,3026,Chemistry Annex
CA-3006,3006,Chemistry Annex
NL-255,255,Noyes Laboratory
NL-256,256,Noyes Laboratory
NL-257,257,Noyes Laboratory
NL-262,262,Noyes Laboratory
NL-263,263,Noyes Laboratory
NL-463,463,Noyes Laboratory
NL-459,459,Noyes Laboratory
TB-101,101,Transportation Building
NL-353,353,Noyes Laboratory
FLB-G24,G24,Foreign Languages Building
FLB-1018,1018,Foreign Languages Building
FLB-1032,1032,Foreign Languages Building
FLB-1024,1024,Foreign Languages Building
FLB-1118,1118,Foreign Languages Building
HH-1002,1002,Huff Hall
A-136,136,Armory
HH-1001,1001,Huff Hall
A-146,146,Armory
HH-112,112,Huff Hall
F-FSB-9,9,FAR - Food Service Building
HH-3015,3015,Huff Hall
LH-1022,1022,Lincoln Hall
1WO-103,103,1207 W Oregon
HH-3005,3005,Huff Hall
FH-130,130,Freer Hall
A-384,384,Armory
HH-2021C,2021C,Huff Hall
SD&RP-ARR,ARR,Student Dining & Res Program
SD&RP-2009,2009,Student Dining & Res Program
SD&RP-2025A,2025A,Student Dining & Res Program
1WO-212,212,1205 W Oregon
EB-4F,4F,Education Building
EB-42A,42A,Education Building
EB-4G,4G,Education Building
EB-37,37,Education Building
5EG-201,201,505 E Green
EB-17,17,Education Building
EB-389,389,Education Building
EB-376,376,Education Building
MB-2334,2334,Music Building
EB-107,107,English Building
EB-127,127,English Building
AH-347,347,Altgeld Hall
ARH-40,40,Allen Residence Hall
AH-147,147,Altgeld Hall
EB-108,108,English Building
AH-445,445,Altgeld Hall
LH-1026,1026,Lincoln Hall
LH-1062,1062,Lincoln Hall
A-329,329,Armory
A-143,143,Armory
WH-1126,1126,Wassaja Hall
LH-1068,1068,Lincoln Hall
LH-1051,1051,Lincoln Hall
A-145,145,Armory
LH-1057,1057,Lincoln Hall
WH-5,5,Weston Hall
HAB-149,149,Henry Administration Bldg
A-242,242,Armory
LH-4053,4053,Lincoln Hall
LH-1064,1064,Lincoln Hall
GH-221,221,Gregory Hall
DH-212,212,Davenport Hall
LH-4007,4007,Lincoln Hall
LH-4103,4103,Lincoln Hall
PSL-1103,1103,Plant Sciences Laboratory
TH-M5,M5,Turner Hall
TH-W121,W121,Turner Hall
NHB-4074,4074,Natural History Building
DCL-L416,L416,Digital Computer Laboratory
9WO-101,101,901 W Oregon
SCfCS-403,403,Siebel Center for Comp Sci
SCfCS-1105,1105,Siebel Center for Comp Sci
SCfCS-ARR,ARR,Siebel Center for Comp Sci
SCfCS-1404,1404,Siebel Center for Comp Sci
SCfCS-1111,1111,Siebel Center for Comp Sci
E&CEB-1002,1002,Electrical & Computer Eng Bldg
SCfCS-1304,1304,Siebel Center for Comp Sci
SCfCS-224,224,Siebel Center for Comp Sci
SCfCS-1109,1109,Siebel Center for Comp Sci
SCfCS-218,218,Siebel Center for Comp Sci
DCL-1320,1320,Digital Computer Laboratory
SCfCS-216,216,Siebel Center for Comp Sci
SCfCS-1214,1214,Siebel Center for Comp Sci
SCfCS-1103,1103,Siebel Center for Comp Sci
CSL-ARR,ARR,Coordinated Science Lab
SCfCS-220,220,Siebel Center for Comp Sci
SCfCS-1131,1131,Siebel Center for Comp Sci
E&CEB-2013,2013,Electrical & Computer Eng Bldg
GSoL&I-131,131,Grad Sch of Lib & Info Science
E&CEB-3013,3013,Electrical & Computer Eng Bldg
AH-143,143,Altgeld Hall
E&CEB-4070,4070,Electrical & Computer Eng Bldg
HAB-143,143,Henry Administration Bldg
EB-135,135,English Building
EB-123,123,English Building
EB-113,113,English Building
EB-125,125,English Building
FLB-1048,1048,Foreign Languages Building
EB-119,119,English Building
FLB-G48,G48,Foreign Languages Building
WH-138,138,Wohlers Hall
FLB-1022,1022,Foreign Languages Building
DKH-310,310,David Kinley Hall
EB-131,131,English Building
EB-ARR,ARR,English Building
FLB-3072E,3072E,Foreign Languages Building
FLB-3024,3024,Foreign Languages Building
EB-156,156,English Building
KCfPA-2127,2127,Krannert Center for Perf Arts
91WN-109,109,907 1/2 W Nevada
9WN-111,111,905 W Nevada
9WN-103,103,905 W Nevada
KCfPA-2500,2500,Krannert Center for Perf Arts
91WN-110,110,907 1/2 W Nevada
GH-321,321,Gregory Hall
DH-113,113,Davenport Hall
FLB-G96,G96,Foreign Languages Building
FLB-1134,1134,Foreign Languages Building
E&CEB-1001,1001,Electrical & Computer Eng Bldg
E&CEB-1013,1013,Electrical & Computer Eng Bldg
E&CEB-2017,2017,Electrical & Computer Eng Bldg
E&CEB-4074,4074,Electrical & Computer Eng Bldg
E&CEB-4072,4072,Electrical & Computer Eng Bldg
E&CEB-2022,2022,Electrical & Computer Eng Bldg
E&CEB-3017,3017,Electrical & Computer Eng Bldg
E&CEB-3026,3026,Electrical & Computer Eng Bldg
E&CEB-2076,2076,Electrical & Computer Eng Bldg
E&CEB-3014,3014,Electrical & Computer Eng Bldg
E&CEB-5072,5072,Electrical & Computer Eng Bldg
E&CEB-4022,4022,Electrical & Computer Eng Bldg
M&NL-ARR,ARR,Micro & Nanotechnology Lab
E&CEB-3002,3002,Electrical & Computer Eng Bldg
E&CEB-3077,3077,Electrical & Computer Eng Bldg
E&CEB-5076,5076,Electrical & Computer Eng Bldg
E&CEB-3015,3015,Electrical & Computer Eng Bldg
E&CEB-5080,5080,Electrical & Computer Eng Bldg
E&CEB-3020,3020,Electrical & Computer Eng Bldg
E&CEB-5074,5074,Electrical & Computer Eng Bldg
E&CEB-4024,4024,Electrical & Computer Eng Bldg
CSL-141,141,Coordinated Science Lab
BI-2169,2169,Beckman Institute
WH-ARR,ARR,Weston Hall
DKH-108,108,David Kinley Hall
DKH-125,125,David Kinley Hall
DKH-209,209,David Kinley Hall
DKH-223,223,David Kinley Hall
BH-140,140,Burrill Hall
